mes,cantidad_ejemplos,f1_score,accuracy,roc_auc
2020-02,6219682,0.4146727472085251,0.49206374216559623,0.5433084990778431
2020-03,2965667,0.43158846210523993,0.5044598736135918,0.5482490471489541
2020-04,230623,0.4857522299720796,0.5735290929352233,0.589400299643076
